,,,,,,,,,,,
,Flight Load by CARRIER,,,,2018,,,,,,
,,,,,,,,,,,
,Carrier,Airport,,Flights,,Pasengers,,Seats offered,,Load,
,,,,Arrival,Departure,Arrival,Departure,Arrival,Departure,Arrival,Departure
,,Bolgna,BLQ,9,9,1447,1342,1701,1701,"85,07 %","78,89 %"
,,Tel Aviv,TLV,8,8,1382,1205,1512,1512,"91,40 %","79,70 %"
,,Milan,MXP,13,13,2153,1878,2457,2457,"87,63 %","76,43 %"
,,Ovda,VDA,9,9,1468,1511,1701,1701,"86,30 %","88,83 %"
,Wizz Air,Luton,LTN,23,23,3912,4021,4140,4140,"94,49 %","97,13 %"
,,Stavanger,SVG,8,8,1230,1268,1440,1440,"85,42 %","88,06 %"
,,Bergen,BGO,9,9,1303,1332,1620,1620,"80,43 %","82,22 %"
,,Olesund,AES,9,9,1376,1435,1620,1620,"84,94 %","88,58 %"
,,Turku,TKU,7,7,647,603,1260,1260,"51,35 %","47,86 %"
,,Eindhoven,EIN,9,9,1702,1824,2070,2070,"82,22 %","88,12 %"
,LOT,Warsaw,WAW,20,19,913,807,1420,1350,"64,30 %","59,78 %"
